umap_n_neighbors,umap_n_components,min_topic_size,min_samples,epsilon,metodo,n_topicos,pct_outliers,tamano_mediano,tamano_min,tamano_max,pct_topicos_pequenos,cobertura_util,concentracion_mayor,silueta,score,cumple_criterios
30,5,125,1,0.2,eom,4,10.41,752.0,224,16180,0.0,89.59,80.94,-0.1885,0.744,False
30,5,100,7,0.0,eom,32,44.89,232.5,104,1295,0.0,55.11,6.48,0.4804,0.7387,False
30,5,100,7,0.1,eom,32,44.89,232.5,104,1295,0.0,55.11,6.48,0.4804,0.7387,False
30,5,100,1,0.0,eom,40,40.96,223.5,109,1532,0.0,59.04,7.66,0.4649,0.7253,False
30,5,100,1,0.1,eom,40,40.96,223.5,109,1532,0.0,59.04,7.66,0.4649,0.7253,False
30,5,100,3,0.0,eom,36,44.18,226.5,101,1316,0.0,55.82,6.58,0.4794,0.7217,False
30,5,100,3,0.1,eom,36,44.18,226.5,101,1316,0.0,55.82,6.58,0.4794,0.7217,False
30,5,100,5,0.3,eom,4,2.71,521.5,109,18296,0.0,97.29,91.53,-0.2579,0.7176,False
30,5,75,1,0.0,eom,47,38.8,189.0,77,1532,0.0,61.2,7.66,0.461,0.7165,False
30,5,75,1,0.1,eom,47,38.8,189.0,77,1532,0.0,61.2,7.66,0.461,0.7165,False
30,5,75,1,0.3,eom,4,0.73,464.0,88,18827,0.0,99.27,94.19,-0.2037,0.7163,False
30,5,100,5,0.0,eom,35,47.49,212.0,101,1012,0.0,52.51,5.06,0.4777,0.704,False
30,5,100,5,0.1,eom,35,47.49,212.0,101,1012,0.0,52.51,5.06,0.4777,0.704,False
30,5,75,7,0.0,eom,39,44.77,191.0,83,1295,0.0,55.23,6.48,0.4753,0.704,False
30,5,75,7,0.1,eom,39,44.77,191.0,83,1295,0.0,55.23,6.48,0.4753,0.704,False
30,5,100,10,0.0,eom,34,49.1,229.0,100,1107,0.0,50.9,5.54,0.5095,0.7006,False
30,5,100,10,0.1,eom,34,49.1,229.0,100,1107,0.0,50.9,5.54,0.5095,0.7006,False
